                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     81,                0.46796,                0.31831,                 1.0454,                0.98554,                0.99363,                0.99403,                0.94208,                0.34479,                0.21112,                0.92361,              0.0004358,              0.0004358,              0.0004358
                     82,                0.47438,                0.32205,                 1.0425,                0.97819,                0.99363,                0.99372,                0.93759,                0.36601,                0.22503,                0.92062,               0.000416,               0.000416,               0.000416
                     83,                0.46947,                0.31371,                 1.0436,                0.97788,                      1,                 0.9945,                0.93224,                0.41884,                0.24158,                 1.0049,              0.0003962,              0.0003962,              0.0003962
                     84,                0.45976,                0.30977,                  1.038,                0.97419,                      1,                0.99449,                0.93364,                0.37257,                0.22401,                0.93354,              0.0003764,              0.0003764,              0.0003764
                     85,                0.45629,                0.30813,                 1.0346,                0.98102,                      1,                0.99351,                0.93669,                0.37973,                0.21891,                0.94851,              0.0003566,              0.0003566,              0.0003566
                     86,                0.44719,                0.30291,                 1.0369,                0.98121,                0.99763,                0.99391,                0.93553,                0.34967,                 0.2089,                0.93865,              0.0003368,              0.0003368,              0.0003368
                     87,                0.44874,                0.30534,                 1.0351,                0.97511,                0.99807,                0.99462,                0.93823,                0.36507,                0.21992,                0.93692,               0.000317,               0.000317,               0.000317
                     88,                0.44754,                0.30393,                 1.0353,                0.97247,                      1,                0.99449,                 0.9383,                 0.4214,                0.25242,                0.97929,              0.0002972,              0.0002972,              0.0002972
                     89,                0.44783,                0.30198,                 1.0331,                0.97329,                      1,                0.99424,                0.94406,                0.36387,                0.22951,                0.93918,              0.0002774,              0.0002774,              0.0002774
                     90,                0.44008,                0.30095,                 1.0354,                0.98098,                0.98532,                0.99424,                0.94065,                0.36732,                0.22553,                0.93076,              0.0002576,              0.0002576,              0.0002576
                     91,                0.34894,                0.22769,                0.99562,                0.99363,                0.99332,                0.99468,                 0.9206,                0.46613,                0.24375,                 1.0309,              0.0002378,              0.0002378,              0.0002378
                     92,                0.33044,                0.20936,                0.96994,                0.98445,                0.99363,                0.99487,                0.92814,                0.43395,                0.25043,                 1.0237,               0.000218,               0.000218,               0.000218
                     93,                0.32949,                0.20736,                0.97835,                0.98627,                0.99363,                0.99468,                 0.9219,                 0.4453,                0.22484,                 1.0289,              0.0001982,              0.0001982,              0.0001982
                     94,                0.32006,                0.19962,                0.96717,                 0.9874,                0.99855,                0.99462,                0.92433,                0.43966,                0.23007,                 1.0125,              0.0001784,              0.0001784,              0.0001784
                     95,                0.30746,                 0.1928,                0.95386,                 0.9874,                0.99812,                0.99462,                0.93275,                0.42173,                0.22194,                0.99816,              0.0001586,              0.0001586,              0.0001586
                     96,                0.30401,                0.18954,                  0.953,                0.98634,                      1,                 0.9943,                0.92542,                0.44144,                0.22976,                 1.0402,              0.0001388,              0.0001388,              0.0001388
                     97,                0.30621,                0.18705,                 0.9532,                0.98543,                      1,                0.99437,                0.93223,                0.43529,                0.22655,                 1.0027,               0.000119,               0.000119,               0.000119
                     98,                0.29877,                0.18581,                0.94681,                0.98594,                      1,                0.99462,                0.93336,                0.40253,                0.22918,                0.95987,               9.92e-05,               9.92e-05,               9.92e-05
                     99,                0.29681,                 0.1874,                0.93903,                0.98558,                      1,                0.99468,                0.93763,                0.41498,                0.22417,                0.97799,               7.94e-05,               7.94e-05,               7.94e-05
                    100,                0.29513,                0.18358,                0.95173,                0.98508,                      1,                0.99456,                0.93035,                0.43074,                0.22938,                  1.007,               5.96e-05,               5.96e-05,               5.96e-05
