                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                0.54573,                0.36805,                 1.0894,                0.97443,                0.97108,                0.99369,                0.93144,                0.46775,                0.29145,                 1.0445,              0.0012575,              0.0012575,              0.0012575
                     78,                0.54543,                0.37333,                 1.0925,                0.97326,                0.97452,                 0.9931,                 0.9225,                0.41072,                0.26121,                0.98321,              0.0012476,              0.0012476,              0.0012476
                     79,                0.53679,                0.36846,                 1.0867,                0.98726,                0.98681,                0.99124,                0.90915,                0.43354,                 0.2843,                  1.024,              0.0012377,              0.0012377,              0.0012377
                     80,                0.53188,                0.35842,                 1.0884,                0.98539,                0.96815,                0.99381,                0.92558,                0.49468,                0.28938,                 1.0626,              0.0012278,              0.0012278,              0.0012278
                     81,                0.53231,                0.35864,                  1.082,                0.98088,                0.98039,                0.99309,                0.91464,                0.44975,                0.29053,                0.99967,              0.0012179,              0.0012179,              0.0012179
                     82,                0.52622,                0.35862,                 1.0755,                0.98646,                0.98726,                 0.9941,                0.92743,                0.46239,                 0.2634,                 1.0299,               0.001208,               0.001208,               0.001208
                     83,                0.52591,                0.35591,                 1.0749,                0.98055,                0.98089,                0.99411,                0.91438,                0.52031,                0.28551,                 1.0982,              0.0011981,              0.0011981,              0.0011981
                     84,                0.51569,                0.35005,                 1.0692,                0.97305,                      1,                 0.9943,                0.92944,                0.45743,                0.29037,                 1.0211,              0.0011882,              0.0011882,              0.0011882
                     85,                0.51896,                0.35494,                 1.0704,                0.98346,                0.98089,                0.99425,                0.92495,                0.46032,                0.25769,                  1.059,              0.0011783,              0.0011783,              0.0011783
                     86,                0.51451,                 0.3495,                 1.0753,                0.99652,                0.98089,                0.99475,                0.93586,                0.44701,                0.23839,                 1.0519,              0.0011684,              0.0011684,              0.0011684
                     87,                0.52008,                0.35241,                 1.0719,                0.97482,                0.98726,                0.99293,                0.92579,                0.42532,                0.25558,                  1.012,              0.0011585,              0.0011585,              0.0011585
                     88,                0.51469,                0.35118,                 1.0649,                0.97238,                      1,                0.99449,                 0.9335,                0.42322,                0.25418,                 1.0135,              0.0011486,              0.0011486,              0.0011486
                     89,                0.51506,                0.34999,                 1.0679,                0.97798,                0.98726,                0.99272,                0.92629,                0.39181,                0.26708,                0.95542,              0.0011387,              0.0011387,              0.0011387
                     90,                0.51584,                0.35053,                 1.0781,                0.96682,                      1,                 0.9945,                0.93182,                0.51096,                0.26797,                 1.1113,              0.0011288,              0.0011288,              0.0011288
                     91,                0.51171,                0.34726,                 1.0725,                0.98725,                0.98637,                0.99398,                0.92462,                0.46316,                0.26107,                 1.0384,              0.0011189,              0.0011189,              0.0011189
                     92,                0.50684,                 0.3524,                 1.0737,                0.98726,                  0.987,                 0.9945,                0.93721,                0.40442,                0.24479,                0.96501,               0.001109,               0.001109,               0.001109
                     93,                0.49834,                0.33229,                 1.0603,                0.98068,                0.98089,                0.99394,                0.94635,                0.42099,                0.26092,                0.99672,              0.0010991,              0.0010991,              0.0010991
                     94,                 0.5091,                0.34022,                 1.0671,                0.98617,                0.98726,                0.99431,                0.90817,                0.47569,                0.27875,                 1.0198,              0.0010892,              0.0010892,              0.0010892
                     95,                    0.5,                0.33494,                 1.0618,                0.98557,                0.97452,                0.99399,                0.92474,                0.45857,                0.27323,                 1.0076,              0.0010793,              0.0010793,              0.0010793
                     96,                0.50868,                0.35704,                 1.0696,                0.97342,                0.98089,                0.99326,                0.92152,                0.42467,                0.30726,                 1.0019,              0.0010694,              0.0010694,              0.0010694
                     97,                0.49626,                0.33562,                  1.052,                      1,                0.97407,                0.99426,                0.93301,                0.49531,                0.27191,                 1.0883,              0.0010595,              0.0010595,              0.0010595
                     98,                0.50016,                0.33794,                 1.0656,                0.98061,                0.96633,                0.99318,                0.92021,                0.40097,                 0.2695,                 0.9654,              0.0010496,              0.0010496,              0.0010496
                     99,                0.48923,                0.33573,                  1.057,                0.98137,                0.99363,                0.99468,                 0.9411,                0.36502,                0.25214,                0.94192,              0.0010397,              0.0010397,              0.0010397
                    100,                0.49566,                  0.338,                 1.0549,                0.98715,                 0.9784,                 0.9945,                0.93185,                 0.4229,                0.25345,                0.98272,              0.0010298,              0.0010298,              0.0010298
                    101,                0.49875,                0.33331,                  1.059,                0.97425,                0.98089,                0.99225,                0.92527,                0.40281,                0.24241,                 0.9625,              0.0010199,              0.0010199,              0.0010199
                    102,                0.49505,                0.33234,                 1.0615,                0.99843,                0.98089,                0.99463,                0.94182,                0.43638,                0.24303,                0.99116,                0.00101,                0.00101,                0.00101
                    103,                0.48457,                0.33021,                 1.0524,                0.97285,                      1,                0.99437,                0.93388,                0.41291,                0.26936,                0.97374,              0.0010001,              0.0010001,              0.0010001
                    104,                0.49231,                0.33297,                 1.0651,                0.96297,                      1,                0.99335,                 0.9279,                0.40998,                0.24135,                0.97153,              0.0009902,              0.0009902,              0.0009902
                    105,                0.48069,                0.33312,                 1.0562,                0.98715,                0.97868,                0.99456,                0.92106,                0.47664,                0.29027,                 1.0964,              0.0009803,              0.0009803,              0.0009803
                    106,                0.48882,                0.32961,                  1.046,                0.98519,                0.96815,                0.99375,                0.92781,                0.48613,                0.25484,                 1.1044,              0.0009704,              0.0009704,              0.0009704
                    107,                0.47686,                0.32833,                 1.0553,                0.96658,                      1,                0.99391,                0.93804,                0.39411,                0.24975,                0.95232,              0.0009605,              0.0009605,              0.0009605
